	0.0000-0.5208	0.5214-1.2579	1.2579-2.0000	Source	Target
D-Glucose##L-Alanine##bc1016	-0.026023178129174693	-0.026023178129174693	-0.026023178129174693	D-Glucose	L-Alanine
D-Glucose##L-Glutamate##bc1016	-0.014024275753891109	-0.014024275753891109	-0.014024275753891109	D-Glucose	L-Glutamate
D-Glucose##Riboflavin##bc1016	-0.0004836692086271653	-0.0004836692086271653	-0.0004836692086271653	D-Glucose	Riboflavin
D-Glucose##Zn2+##bc1016	-0.00016122306954357782	-0.00016122306954357782	-0.00016122306954357782	D-Glucose	Zn2+
D-Glucose##L-Histidine##bc1016	-0.004553954419615389	-0.004553954419615389	-0.004553954419615389	D-Glucose	L-Histidine
D-Glucose##Co2+##bc1016	-0.00016122306954343272	-0.00016122306954343272	-0.00016122306954343272	D-Glucose	Co2+
D-Glucose##D-Glucose##bc1016	-1.000000000000001	-1.000000000000001	-1.000000000000001	D-Glucose	D-Glucose
D-Glucose##K+##bc1016	-0.00016122306954369063	-0.00016122306954369063	-0.00016122306954369063	D-Glucose	K+
D-Glucose##L-Proline##bc1016	-0.01059178162764525	-0.01059178162764525	-0.01059178162764525	D-Glucose	L-Proline
D-Glucose##L-Glutamine##bc1016	-0.012587334687932916	-0.012587334687932916	-0.012587334687932916	D-Glucose	L-Glutamine
D-Glucose##Pyridoxal##bc1016	-0.00016122306954381856	-0.00016122306954381856	-0.00016122306954381856	D-Glucose	Pyridoxal
D-Glucose##TRHL##bc1016	-0.0034030548303741236	-0.0034030548303741236	-0.0034030548303741236	D-Glucose	TRHL
D-Glucose##AMP##bc1016	-0.006088123683416382	-0.006088123683416382	-0.006088123683416382	D-Glucose	AMP
D-Glucose##Deoxycytidine##bc1016	-0.0006896832404021166	-0.0006896832404021166	-0.0006896832404021166	D-Glucose	Deoxycytidine
D-Glucose##L-Cysteine##bc1016	-0.004374866324462453	-0.004374866324462453	-0.004374866324462453	D-Glucose	L-Cysteine
D-Glucose##Mn2+##bc1016	-0.00016122306954408536	-0.00016122306954408536	-0.00016122306954408536	D-Glucose	Mn2+
D-Glucose##D-Alanine##bc1016	-0.002873882131944701	-0.002873882131944701	-0.002873882131944701	D-Glucose	D-Alanine
D-Glucose##Chorismate##bc1016	-0.0003224461390862265	-0.0003224461390862265	-0.0003224461390862265	D-Glucose	Chorismate
D-Glucose##Glycerol##bc1016	-0.00357880492740255	-0.00357880492740255	-0.00357880492740255	D-Glucose	Glycerol
D-Glucose##4-Hydroxybenzoate##bc1016	-0.00016122306953369583	-0.00016122306953369583	-0.00016122306953369583	D-Glucose	4-Hydroxybenzoate
D-Glucose##L-Leucine##bc1016	-0.021567323459189224	-0.021567323459189224	-0.021567323459189224	D-Glucose	L-Leucine
D-Glucose##L-Aspartate##bc1016	-0.011538390130598736	-0.011538390130598736	-0.011538390130598736	D-Glucose	L-Aspartate
D-Glucose##L-Arginine##bc1016	-0.014173543530711782	-0.014173543530711782	-0.014173543530711782	D-Glucose	L-Arginine
D-Glucose##CMP##bc1016	-0.0013548885500875866	-0.0013548885500875866	-0.0013548885500875866	D-Glucose	CMP
D-Glucose##Sulfate##bc1016	-0.00016122306954377354	-0.00016122306954377354	-0.00016122306954377354	D-Glucose	Sulfate
D-Glucose##Acetate##bc1016	1.4964829358497282	1.4964829358497282	1.4964829358497282	D-Glucose	Acetate
D-Glucose##Putrescine##bc1016	-0.00016122306954374587	-0.00016122306954374587	-0.00016122306954374587	D-Glucose	Putrescine
D-Glucose##L-Phenylalanine##bc1016	-0.008877652716890791	-0.008877652716890791	-0.008877652716890791	D-Glucose	L-Phenylalanine
D-Glucose##Oxidized glutathione##bc1016	-8.061153477201887e-05	-8.061153477201887e-05	-8.061153477201887e-05	D-Glucose	Oxidized glutathione
D-Glucose##2-Oxoglutarate##bc1016	-0.00032244613908655705	-0.00032244613908655705	-0.00032244613908655705	D-Glucose	2-Oxoglutarate
D-Glucose##Uridine##bc1016	-0.0053798146350004464	-0.0053798146350004464	-0.0053798146350004464	D-Glucose	Uridine
D-Glucose##Ca2+##bc1016	-0.0001612230695431647	-0.0001612230695431647	-0.0001612230695431647	D-Glucose	Ca2+
D-Glucose##L-Tyrosine##bc1016	-0.006933267683796765	-0.006933267683796765	-0.006933267683796765	D-Glucose	L-Tyrosine
D-Glucose##Spermidine##bc1016	-0.00016122306954302794	-0.00016122306954302794	-0.00016122306954302794	D-Glucose	Spermidine
D-Glucose##Pimelate##bc1016	-0.0004252393321438339	-0.0004252393321438339	-0.0004252393321438339	D-Glucose	Pimelate
D-Glucose##NH3##bc1016	0.0008061153477152456	0.0008061153477152456	0.0008061153477152456	D-Glucose	NH3
D-Glucose##Glucose-1-phosphate##bc1016	-0.0037816504994862025	-0.0037816504994862025	-0.0037816504994862025	D-Glucose	Glucose-1-phosphate
D-Glucose##Cl-##bc1016	-0.00016122306954406752	-0.00016122306954406752	-0.00016122306954406752	D-Glucose	Cl-
D-Glucose##BET##bc1016	-0.00032244613907769646	-0.00032244613907769646	-0.00032244613907769646	D-Glucose	BET
D-Glucose##1,2-Diacyl-sn-glycerol dioctadecanoyl##bc1016	-0.007157609854813912	-0.007157609854813912	-0.007157609854813912	D-Glucose	1,2-Diacyl-sn-glycerol dioctadecanoyl
D-Glucose##fe3##bc1016	-0.00048366920862980575	-0.00048366920862980575	-0.00048366920862980575	D-Glucose	fe3
D-Glucose##L-Valine##bc1016	-0.0202369547523353	-0.0202369547523353	-0.0202369547523353	D-Glucose	L-Valine
D-Glucose##H+##bc1016	2.4287077039340965	2.4287077039340965	2.4287077039340965	D-Glucose	H+
D-Glucose##Cytidine##bc1016	-0.0034771406771894027	-0.0034771406771894027	-0.0034771406771894027	D-Glucose	Cytidine
D-Glucose##L-Methionine##bc1016	-0.007342611901289777	-0.007342611901289777	-0.007342611901289777	D-Glucose	L-Methionine
D-Glucose##BIOT##bc1016	-0.0001612230695442464	-0.0001612230695442464	-0.0001612230695442464	D-Glucose	BIOT
D-Glucose##Glycine##bc1016	-0.02881002635575413	-0.02881002635575413	-0.02881002635575413	D-Glucose	Glycine
D-Glucose##L-Isoleucine##bc1016	-0.01389211938118603	-0.01389211938118603	-0.01389211938118603	D-Glucose	L-Isoleucine
D-Glucose##ddca##bc1016	-0.002712659062405162	-0.002712659062405162	-0.002712659062405162	D-Glucose	ddca
D-Glucose##Myristic acid##bc1016	-0.005908987333427748	-0.005908987333427748	-0.005908987333427748	D-Glucose	Myristic acid
D-Glucose##dGTP##bc1016	-0.0006896832404011108	-0.0006896832404011108	-0.0006896832404011108	D-Glucose	dGTP
D-Glucose##NADP##bc1016	-0.0004836692086210254	-0.0004836692086210254	-0.0004836692086210254	D-Glucose	NADP
D-Glucose##D-Arabinose##bc1016	-0.004310823197917686	-0.004310823197917686	-0.004310823197917686	D-Glucose	D-Arabinose
D-Glucose##5-Aminolevulinate##bc1016	-0.0012897845563457336	-0.0012897845563457336	-0.0012897845563457336	D-Glucose	5-Aminolevulinate
D-Glucose##TTP##bc1016	-0.0011514359277811903	-0.0011514359277811903	-0.0011514359277811903	D-Glucose	TTP
D-Glucose##GTP##bc1016	-0.007940790125458919	-0.007940790125458919	-0.007940790125458919	D-Glucose	GTP
D-Glucose##hexadecenoate##bc1016	-0.0064803013567696684	-0.0064803013567696684	-0.0064803013567696684	D-Glucose	hexadecenoate
D-Glucose##Formate##bc1016	-0.00016122306954430076	-0.00016122306954430076	-0.00016122306954430076	D-Glucose	Formate
D-Glucose##CoA##bc1016	-0.0003224461390883423	-0.0003224461390883423	-0.0003224461390883423	D-Glucose	CoA
D-Glucose##Cu2+##bc1016	-0.00016122306954341776	-0.00016122306954341776	-0.00016122306954341776	D-Glucose	Cu2+
