	Avg_bc1016	Var_bc1016	Avg_bc1008	Var_bc1008	Avg_bc1009	Var_bc1009	Avg_InAmount	Var_InAmount	Avg_OutAmount	Var_OutAmount	Avg_AllAmount	Var_AllAmount	In	InAmount	Out	OutAmount	All	AllAmount
1,2-Diacyl-sn-glycerol dioctadecanoyl	0.0	0.0	0.0	0.0	0.0	0.0	2.998818374826008	1.3956881084680053e-06	0.0	0.0	2.998818374826008	1.3956881084680053e-06	bc1008.bc1009.bc1016	1		1	bc1008.bc1009.bc1016	1
2-Oxoglutarate	0.0	0.0	0.0	0.0	0.0	0.0	1.9992122498840053	6.203058259858968e-07	0.0	0.0	1.9992122498840053	6.203058259858968e-07	bc1008.bc1016	1		1	bc1008.bc1016	1
4-Hydroxybenzoate	0.0	0.0	0.0	0.0	0.0	0.0	2.998818374826008	1.3956881084680053e-06	0.0	0.0	2.998818374826008	1.3956881084680053e-06	bc1008.bc1009.bc1016	1		1	bc1008.bc1009.bc1016	1
5-Aminolevulinate	0.0	0.0	0.0	0.0	0.0	0.0	2.998818374826008	1.3956881084680053e-06	0.0	0.0	2.998818374826008	1.3956881084680053e-06	bc1008.bc1009.bc1016	1		1	bc1008.bc1009.bc1016	1
AMP	0.0	0.0	0.0	0.0	0.0	0.0	2.998818374826008	1.3956881084680053e-06	0.0	0.0	2.998818374826008	1.3956881084680053e-06	bc1008.bc1009.bc1016	1		1	bc1008.bc1009.bc1016	1
ARSENOBETAINE	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Acetate	0.0	0.0	0.0	0.0	0.0	0.0	2.998818374826008	1.3956881084680053e-06	0.0	0.0	2.998818374826008	1.3956881084680053e-06	bc1008.bc1009.bc1016	1		1	bc1008.bc1009.bc1016	1
Adenine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Adenosine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Ala-Ala	0.0	0.0	0.0	0.0	0.0	0.0	0.9996061249420026	1.550764564964742e-07	0.0	0.0	0.9996061249420026	1.550764564964742e-07	bc1009	1		1	bc1009	1
Arsenate	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Arsenite	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
BET	0.0	0.0	0.0	0.0	0.0	0.0	2.998818374826008	1.3956881084680053e-06	0.0	0.0	2.998818374826008	1.3956881084680053e-06	bc1008.bc1009.bc1016	1		1	bc1008.bc1009.bc1016	1
BIOT	0.0	0.0	0.0	0.0	0.0	0.0	2.998818374826008	1.3956881084680053e-06	0.0	0.0	2.998818374826008	1.3956881084680053e-06	bc1008.bc1009.bc1016	1		1	bc1008.bc1009.bc1016	1
