	0.0	1e-06	1.2e-05	3.7e-05	0.000518	0.000593	0.000656	0.000858	0.000859	0.000871	0.001002	0.001207	0.001424	0.001508	0.002037	0.002196	0.002892	0.003233	0.003235	0.003324	0.00347	0.003982	0.005029	0.005289	0.005728	0.005821	0.006647	0.006932	0.008194	0.008287	0.008373	0.008489	0.00905	0.00909	0.009721	0.010536	0.011196	0.011721	0.011998	0.012008	0.012118	0.012122	0.012126	0.012129	0.012133	0.012789	0.01282	0.013062	0.025344
Clostridium_innocuum_I46	True	False	False	False	False	False	False	False	False	True	False	False	True	False	False	False	True	True	False	True	False	True	True	True	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	True
Bacteroides_caecimuris_I48	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
Limosilactobacillus_reuteri_I49	True	False	False	False	False	True	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	True	False	False	True	True	True	True	False	True	True	True	True	False	False	False
Flavonifractor_plautii_YL31	True	False	False	False	False	False	False	False	False	False	False	False	False	True	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True
Muribaculum_intestinale_YL27	True	False	False	True	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
Akkermansia_muciniphilaYL44	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False
Turicimonas_muris_YL45	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
Acutalibacter_muris_KB1	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
Enterocloster_clostridioformis_YL32	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True
Bifidobacterium_animalis_YL2	True	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
Enterococcus_faecalis_KB1	True	True	False	False	False	False	True	False	True	False	True	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
Blautia_coccoides_YL58	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
