	Avg_Limosilactobacillus_reuteri_I49	Var_Limosilactobacillus_reuteri_I49	Avg_Enterococcus_faecalis_KB1	Var_Enterococcus_faecalis_KB1	Avg_InAmount	Var_InAmount	Avg_OutAmount	Var_OutAmount	Avg_AllAmount	Var_AllAmount	In	InAmount	Out	OutAmount	All	AllAmount
D-Mannitol-e0	0.0	0.0	0.0	0.0	0.9637480272279892	0.0012666694616876384	0.0	0.0	0.9637480272279892	0.0012666694616876384	.Limosilactobacillus_reuteri_I49	2		1	.Limosilactobacillus_reuteri_I49	2
Ethanol-e0	0.0	0.0	0.0	0.0	0.9637480272279892	0.0012666694616876384	0.0	0.0	0.9637480272279892	0.0012666694616876384	.Enterococcus_faecalis_KB1	2		1	.Enterococcus_faecalis_KB1	2
Fumarate-e0	0.0	0.0	0.0	0.0	1.9274960544559785	0.005066677846750554	0.0	0.0	1.9274960544559785	0.005066677846750554	.Enterococcus_faecalis_KB1.Limosilactobacillus_reuteri_I49	2		1	.Enterococcus_faecalis_KB1.Limosilactobacillus_reuteri_I49	2
H2-e0	0.0	0.0	0.0	0.0	0.9637480272279892	0.0012666694616876384	0.0	0.0	0.9637480272279892	0.0012666694616876384	.Enterococcus_faecalis_KB1	2		1	.Enterococcus_faecalis_KB1	2
O2-e0	-0.00023402554371208166	0.0005349060446201961	0.0	0.0	1.9274960544559785	0.005066677846750554	0.006366098907246776	0.00632410250509033	1.9338621533632256	0.011424248614698235	.Enterococcus_faecalis_KB1.Limosilactobacillus_reuteri_I49	2	.Limosilactobacillus_reuteri_I49	2	.Enterococcus_faecalis_KB1.Limosilactobacillus_reuteri_I49.Limosilactobacillus_reuteri_I49Enterococcus_faecalis_KB1.Limosilactobacillus_reuteri_I49	3
Sorbitol-e0	0.0	0.0	0.0	0.0	0.0010103051674989058	0.0010092474480965347	0.0	0.0	0.0010103051674989058	0.0010092474480965347	.Limosilactobacillus_reuteri_I49	2		1	.Limosilactobacillus_reuteri_I49	2
5'-Deoxyadenosine-e0	0.0	0.0	0.0	0.0	1.927360151541937	0.005337750058171832	0.0	0.0	1.927360151541937	0.005337750058171832	.Enterococcus_faecalis_KB1.Limosilactobacillus_reuteri_I49	2		1	.Enterococcus_faecalis_KB1.Limosilactobacillus_reuteri_I49	2
Glycolate-e0	5.001550377077113e-14	2.4731524064326004e-28	0.0	0.0	0.9619515632914135	0.0030550668779682428	0.0	0.0	0.9619515632914135	0.0030550668779682428	.Limosilactobacillus_reuteri_I49	2		1	.Limosilactobacillus_reuteri_I49	2
Homocysteine-e0	0.0	0.0	0.0	0.0	0.9636800757709685	0.001334437514542958	0.0	0.0	0.9636800757709685	0.001334437514542958	.Limosilactobacillus_reuteri_I49	2		1	.Limosilactobacillus_reuteri_I49	2
Succinate-e0	0.0	0.0	0.0	0.0	1.927360151541937	0.005337750058171832	0.0	0.0	1.927360151541937	0.005337750058171832	.Enterococcus_faecalis_KB1.Limosilactobacillus_reuteri_I49	2		1	.Enterococcus_faecalis_KB1.Limosilactobacillus_reuteri_I49	2
XAN-e0	0.0	0.0	0.0	0.0	1.927360151541937	0.005337750058171832	0.0	0.0	1.927360151541937	0.005337750058171832	.Enterococcus_faecalis_KB1.Limosilactobacillus_reuteri_I49	2		1	.Enterococcus_faecalis_KB1.Limosilactobacillus_reuteri_I49	2
5-Methylthio-D-ribose-e0	0.0	0.0	0.0	0.0	1.9265467892163084	0.006959284016875311	0.0	0.0	1.9265467892163084	0.006959284016875311	.Enterococcus_faecalis_KB1.Limosilactobacillus_reuteri_I49	2		1	.Enterococcus_faecalis_KB1.Limosilactobacillus_reuteri_I49	2
Formate-e0-e0	0.0	0.0	0.0	0.0	0.9632733946081542	0.0017398210042188277	0.0	0.0	0.9632733946081542	0.0017398210042188277	.Enterococcus_faecalis_KB1	2		1	.Enterococcus_faecalis_KB1	2
Glycerol-e0	7.042415930690893e-14	5.496217490135337e-28	0.0	0.0	1.8692307723188888	0.060456996777914475	0.0	0.0	1.8692307723188888	0.060456996777914475	.Enterococcus_faecalis_KB1.Enterococcus_faecalis_KB1.Limosilactobacillus_reuteri_I49	3		1	.Enterococcus_faecalis_KB1.Enterococcus_faecalis_KB1.Limosilactobacillus_reuteri_I49	3
L-Malate-e0	5.246959204185293e-14	2.7288789068984373e-28	0.0	0.0	0.9629060500835853	0.0021056987326311333	0.0	0.0	0.9629060500835853	0.0021056987326311333	.Limosilactobacillus_reuteri_I49	2		1	.Limosilactobacillus_reuteri_I49	2
Propanal-e0	0.0	0.0	0.0	0.0	1.9251174871007333	0.009805445120071211	0.0	0.0	1.9251174871007333	0.009805445120071211	.Enterococcus_faecalis_KB1.Limosilactobacillus_reuteri_I49	2		1	.Enterococcus_faecalis_KB1.Limosilactobacillus_reuteri_I49	2
H2S-e0	-9.44995560338706e-16	8.00477597011387e-30	0.0	0.0	0.20000000000000004	0.3585499256745518	0.0	0.0	0.20000000000000004	0.3585499256745518	.Enterococcus_faecalis_KB1.Limosilactobacillus_reuteri_I49	2		1	.Enterococcus_faecalis_KB1.Limosilactobacillus_reuteri_I49	2
