	bc1011	bc1015	In	Out	All
Nitrate_e0	0.0	0.0			
Nitrite_e0	0.0	0.0	bc1011		bc1011
O2_e0	0.15278557913560092	0.15324853629746116	bc1011.bc1015	bc1011.bc1015	bc1011.bc1015bc1011.bc1015
Oxidized glutathione_e0	0.0	0.0	bc1011.bc1015		bc1011.bc1015
PAN_e0	0.0	0.0			
PPi_e0	0.0	0.0	bc1015		bc1015
Putrescine_e0	0.0	0.0	bc1011.bc1015		bc1011.bc1015
Pyridoxal_e0	0.0	0.0	bc1011.bc1015		bc1011.bc1015
Riboflavin_e0	0.0	0.0	bc1011.bc1015		bc1011.bc1015
S-Adenosyl-L-methionine_e0	0.0	0.0	bc1011.bc1015		bc1011.bc1015
Spermidine_e0	0.0	0.0	bc1011.bc1015		bc1011.bc1015
Sulfate_e0	0.0	0.0	bc1011.bc1015		bc1011.bc1015
TRHL_e0	0.0	0.0	bc1011.bc1015		bc1011.bc1015
TTP_e0	0.0	0.0	bc1011.bc1015		bc1011.bc1015
Thiamin_e0	0.0	0.0	bc1011.bc1015		bc1011.bc1015
UMP_e0	0.0	0.0	bc1011.bc1015		bc1011.bc1015
Uracil_e0	0.0	0.0			
Zn2+_e0	0.0	0.0	bc1011.bc1015		bc1011.bc1015
chromate_e0	0.0	0.0			
dATP_e0	0.0	0.0	bc1011.bc1015		bc1011.bc1015
dGTP_e0	0.0	0.0	bc1011.bc1015		bc1011.bc1015
ddca_e0	0.0	0.0	bc1011.bc1015		bc1011.bc1015
fe3_e0	0.0	0.0	bc1011.bc1015		bc1011.bc1015
meso-2,6-Diaminopimelate_e0	0.0	0.0	bc1011.bc1015		bc1011.bc1015
