	0.0000	Source	Target
Turicimonas_muris_YL45##L-Aspartate-e0##Microbe	6.000000000441673	Turicimonas_muris_YL45	L-Aspartate-e0
Turicimonas_muris_YL45##L-Histidine-e0##Microbe	8.244072091656562e-12	Turicimonas_muris_YL45	L-Histidine-e0
Turicimonas_muris_YL45##L-Cysteine-e0##Microbe	1.0901501923399337e-11	Turicimonas_muris_YL45	L-Cysteine-e0
Turicimonas_muris_YL45##L-Tryptophan##Microbe	4.079403481682675e-12	Turicimonas_muris_YL45	L-Tryptophan
Turicimonas_muris_YL45##Pyridoxal##Microbe	3.2795988147427124e-13	Turicimonas_muris_YL45	Pyridoxal
Turicimonas_muris_YL45##Phosphate-e0##Microbe	9.951861557055963e-11	Turicimonas_muris_YL45	Phosphate-e0
Turicimonas_muris_YL45##Spermidine-e0##Microbe	-5.551115123125783e-16	Turicimonas_muris_YL45	Spermidine-e0
Turicimonas_muris_YL45##L-Proline-e0##Microbe	2.162181544917985e-11	Turicimonas_muris_YL45	L-Proline-e0
Turicimonas_muris_YL45##H+-e0##Microbe	-15.000000003890818	Turicimonas_muris_YL45	H+-e0
Riboflavin##Turicimonas_muris_YL45##Metabolite	-9.626432984077837e-11	Riboflavin	Turicimonas_muris_YL45
Turicimonas_muris_YL45##L-Phenylalanine##Microbe	1.638156277294911e-11	Turicimonas_muris_YL45	L-Phenylalanine
Turicimonas_muris_YL45##L-Glutamate-e0##Microbe	-0.999999999631882	Turicimonas_muris_YL45	L-Glutamate-e0
Turicimonas_muris_YL45##carbonate##Microbe	1.9605295165092684e-10	Turicimonas_muris_YL45	carbonate
Turicimonas_muris_YL45##NH3-e0##Microbe	-15.333333339022829	Turicimonas_muris_YL45	NH3-e0
Turicimonas_muris_YL45##L-Asparagine-e0##Microbe	2.347988470319251e-11	Turicimonas_muris_YL45	L-Asparagine-e0
Turicimonas_muris_YL45##Ca2+-e0##Microbe	7.277511926417901e-13	Turicimonas_muris_YL45	Ca2+-e0
Turicimonas_muris_YL45##Glycine-e0##Microbe	-0.9999999999429754	Turicimonas_muris_YL45	Glycine-e0
Turicimonas_muris_YL45##Folate##Microbe	4.218847493575595e-15	Turicimonas_muris_YL45	Folate
Turicimonas_muris_YL45##H2O-e0##Microbe	7.000000003860805	Turicimonas_muris_YL45	H2O-e0
Turicimonas_muris_YL45##fe3-e0##Microbe	7.528866419193037e-12	Turicimonas_muris_YL45	fe3-e0
Turicimonas_muris_YL45##Mg##Microbe	5.840883332552949e-13	Turicimonas_muris_YL45	Mg
Turicimonas_muris_YL45##PAN##Microbe	-3.1530333899354446e-14	Turicimonas_muris_YL45	PAN
Turicimonas_muris_YL45##Pyruvate-e0##Microbe	1.1102230246251565e-15	Turicimonas_muris_YL45	Pyruvate-e0
Turicimonas_muris_YL45##L-Methionine-e0##Microbe	1.688604811533878e-11	Turicimonas_muris_YL45	L-Methionine-e0
Turicimonas_muris_YL45##Fe2+-e0##Microbe	-5.07172082109264e-12	Turicimonas_muris_YL45	Fe2+-e0
Turicimonas_muris_YL45##L-Serine-e0##Microbe	16.33333333864448	Turicimonas_muris_YL45	L-Serine-e0
Turicimonas_muris_YL45##K+-e0##Microbe	5.632161403923419e-13	Turicimonas_muris_YL45	K+-e0
Turicimonas_muris_YL45##L-Tyrosine##Microbe	1.41895384331292e-11	Turicimonas_muris_YL45	L-Tyrosine
Turicimonas_muris_YL45##Co2+-e0##Microbe	9.029443859276398e-13	Turicimonas_muris_YL45	Co2+-e0
Turicimonas_muris_YL45##Uracil-e0##Microbe	2.9814373192493804e-11	Turicimonas_muris_YL45	Uracil-e0
Turicimonas_muris_YL45##L-Lysine-e0##Microbe	3.446842811172246e-11	Turicimonas_muris_YL45	L-Lysine-e0
Turicimonas_muris_YL45##Niacin##Microbe	7.382983113757291e-13	Turicimonas_muris_YL45	Niacin
Turicimonas_muris_YL45##L-Threonine-e0##Microbe	3.0951241569709964e-11	Turicimonas_muris_YL45	L-Threonine-e0
Turicimonas_muris_YL45##Sulfate-e0##Microbe	5.570210959149335e-12	Turicimonas_muris_YL45	Sulfate-e0
Turicimonas_muris_YL45##Zn2+-e0##Microbe	-5.226929999935237e-13	Turicimonas_muris_YL45	Zn2+-e0
Turicimonas_muris_YL45##Cl--e0##Microbe	7.175371408152387e-13	Turicimonas_muris_YL45	Cl--e0
Turicimonas_muris_YL45##Mn2+##Microbe	7.477352070850429e-13	Turicimonas_muris_YL45	Mn2+
Turicimonas_muris_YL45##Cu2+-e0##Microbe	2.26929586233382e-13	Turicimonas_muris_YL45	Cu2+-e0
Turicimonas_muris_YL45##Riboflavin##Microbe	6.235012506294879e-13	Turicimonas_muris_YL45	Riboflavin
Turicimonas_muris_YL45##L-Arginine-e0##Microbe	2.539479737606598e-11	Turicimonas_muris_YL45	L-Arginine-e0
Turicimonas_muris_YL45##Fumarate-e0##Microbe	365.74003733643144	Turicimonas_muris_YL45	Fumarate-e0
Turicimonas_muris_YL45##Succinate-e0##Microbe	393.1690835079388	Turicimonas_muris_YL45	Succinate-e0
Turicimonas_muris_YL45##5'-Deoxyadenosine-e0##Microbe	0.49999999998728833	Turicimonas_muris_YL45	5'-Deoxyadenosine-e0
Turicimonas_muris_YL45##D-Glyceraldehyde-e0##Microbe	3.954395417040411	Turicimonas_muris_YL45	D-Glyceraldehyde-e0
Turicimonas_muris_YL45##O2-e0##Microbe	-0.49999999998797395	Turicimonas_muris_YL45	O2-e0
Turicimonas_muris_YL45##CO2-e0##Microbe	1158.912609748252	Turicimonas_muris_YL45	CO2-e0
Turicimonas_muris_YL45##Glycolaldehyde-e0##Microbe	0.4999999999793219	Turicimonas_muris_YL45	Glycolaldehyde-e0
Turicimonas_muris_YL45##Acetate-e0##Microbe	6530.851790883832	Turicimonas_muris_YL45	Acetate-e0
Turicimonas_muris_YL45##Formate-e0-e0##Microbe	6893.195867373502	Turicimonas_muris_YL45	Formate-e0-e0
