	0.0000-0.0000	0.0000-2.2106	2.2106-9.7133	9.7133-12.8797	12.8797-15.5592	15.5592-20.0000	Source	Target
Turicimonas_muris_YL45##L-Aspartate-e0##Microbe	-680.6171616423412	-674.6171616418995	-1356.7343232925393	-1356.7343232925393	-1332.7343233032498	-1332.7343233032498	Turicimonas_muris_YL45	L-Aspartate-e0
Turicimonas_muris_YL45##Pyridoxal##Microbe	-0.49999999999689765	-0.4999999999965697	-0.9999999999998856	-0.9999999999998856	-0.9999999999993765	-0.9999999999993765	Turicimonas_muris_YL45	Pyridoxal
Turicimonas_muris_YL45##Phosphate-e0##Microbe	-127.45775495970794	-127.45775495960842	-254.91550992084763	-254.91550992084763	-254.9155099204183	-254.9155099204183	Turicimonas_muris_YL45	Phosphate-e0
Turicimonas_muris_YL45##L-Proline-e0##Microbe	-26.584324739480696	-26.584324739459074	-53.16864947925859	-53.16864947925859	-53.168649479251904	-53.168649479251904	Turicimonas_muris_YL45	L-Proline-e0
Acutalibacter_muris_KB1##Ca2+-e0##Microbe	-1.4121250719534126	-1.4121250719534126	-1.4121250719534126	-1.4121250719484515	-1.4121250719484515	-1.4121250719527412	Acutalibacter_muris_KB1	Ca2+-e0
Riboflavin##Turicimonas_muris_YL45##Metabolite	126.68907411748705	126.68907411739079	0.0	0.0	0.0	0.0	Riboflavin	Turicimonas_muris_YL45
Acutalibacter_muris_KB1##PAN##Microbe	-2.0000000000054046	-2.0000000000054046	-2.0000000000054046	-2.000000000000431	-2.000000000000431	-2.0000000000118896	Acutalibacter_muris_KB1	PAN
Acutalibacter_muris_KB1##Fe2+-e0##Microbe	-4.246772178071113	-4.246772178071113	-4.246772178071113	-4.246772178055478	-4.246772178055478	-4.246772178072952	Acutalibacter_muris_KB1	Fe2+-e0
Turicimonas_muris_YL45##carbonate##Microbe	-272.08718788733535	-272.0871878871393	-544.1743757777934	-544.1743757777934	-544.1743757757529	-544.1743757757529	Turicimonas_muris_YL45	carbonate
Turicimonas_muris_YL45##L-Asparagine-e0##Microbe	-28.98957316828693	-28.98957316826345	-57.979146336898104	-57.979146336898104	-57.979146336643865	-57.979146336643865	Turicimonas_muris_YL45	L-Asparagine-e0
Acutalibacter_muris_KB1##L-Lysine-e0##Microbe	-72.71932386926484	-72.71932386926484	-72.71932386926484	-72.71932386907253	-72.71932386907253	-72.71932386918586	Acutalibacter_muris_KB1	L-Lysine-e0
Acutalibacter_muris_KB1##Niacin##Microbe	-2.0000000000008895	-2.0000000000008895	-2.0000000000008895	-1.9999999999957565	-1.9999999999957565	-2.0000000000606843	Acutalibacter_muris_KB1	Niacin
Turicimonas_muris_YL45##fe3-e0##Microbe	-0.9241112603308173	-0.9241112603232884	-1.8482225206598213	-1.8482225206598213	-1.8482225206582197	-1.8482225206582197	Turicimonas_muris_YL45	fe3-e0
