	0.0000	8.4197	9.0099	Source	Target
Putrescine-e0##L-Aspartate-e0##Enterocloster_clostridioformis_YL32	0.0	-0.9999999999977768	0.0	Putrescine-e0	L-Aspartate-e0
Spermidine-e0##L-Aspartate-e0##Enterocloster_clostridioformis_YL32	0.0	-1.9999999999972211	0.0	Spermidine-e0	L-Aspartate-e0
PAN##L-Aspartate-e0##Enterocloster_clostridioformis_YL32	0.0	0.0	0.0	PAN	L-Aspartate-e0
PAN##Sulfate-e0##Enterocloster_clostridioformis_YL32	0.0	0.0	0.0	PAN	Sulfate-e0
Putrescine-e0##L-Arginine-e0##Enterocloster_clostridioformis_YL32	0.0	-0.9999999999996287	0.0	Putrescine-e0	L-Arginine-e0
Spermidine-e0##L-Arginine-e0##Enterocloster_clostridioformis_YL32	0.0	-0.9999999999995564	0.0	Spermidine-e0	L-Arginine-e0
PAN##L-Arginine-e0##Enterocloster_clostridioformis_YL32	0.0	0.0	0.0	PAN	L-Arginine-e0
PAN##L-Leucine-e0##Enterocloster_clostridioformis_YL32	0.0	0.0	0.0	PAN	L-Leucine-e0
Putrescine-e0##Putrescine-e0##Enterocloster_clostridioformis_YL32	0.0	1.000000000000001	0.0	Putrescine-e0	Putrescine-e0
PAN##L-Histidine-e0##Enterocloster_clostridioformis_YL32	0.0	0.0	0.0	PAN	L-Histidine-e0
PAN##L-Proline-e0##Enterocloster_clostridioformis_YL32	0.0	0.0	0.0	PAN	L-Proline-e0
PAN##Co2+-e0##Enterocloster_clostridioformis_YL32	0.0	0.0	0.0	PAN	Co2+-e0
PAN##L-Valine-e0##Enterocloster_clostridioformis_YL32	0.0	0.0	0.0	PAN	L-Valine-e0
PAN##L-Threonine-e0##Enterocloster_clostridioformis_YL32	0.0	0.0	0.0	PAN	L-Threonine-e0
Spermidine-e0##Spermidine-e0##Enterocloster_clostridioformis_YL32	0.0	0.9999999999999998	0.0	Spermidine-e0	Spermidine-e0
Thiamin-e0##Thiamin-e0##Enterocloster_clostridioformis_YL32	0.0	0.0	0.0	Thiamin-e0	Thiamin-e0
PAN##L-Isoleucine-e0##Enterocloster_clostridioformis_YL32	0.0	0.0	0.0	PAN	L-Isoleucine-e0
PAN##fe3-e0##Enterocloster_clostridioformis_YL32	0.0	0.0	0.0	PAN	fe3-e0
Putrescine-e0##H+-e0##Enterocloster_clostridioformis_YL32	0.0	-3.666666666675047	0.0	Putrescine-e0	H+-e0
Spermidine-e0##H+-e0##Enterocloster_clostridioformis_YL32	0.0	-6.333333333344065	0.0	Spermidine-e0	H+-e0
Thiamin-e0##H+-e0##Enterocloster_clostridioformis_YL32	0.0	0.0	0.0	Thiamin-e0	H+-e0
Folate-e0##H+-e0##Enterocloster_clostridioformis_YL32	0.0	0.0	0.0	Folate-e0	H+-e0
PAN##H+-e0##Enterocloster_clostridioformis_YL32	0.0	0.0	0.0	PAN	H+-e0
Puryvate##H+-e0##Enterocloster_clostridioformis_YL32	0.0	0.0	0.0	Puryvate	H+-e0
N-acetyl-D-gluosamine##H+-e0##Enterocloster_clostridioformis_YL32	0.0	0.0	0.0	N-acetyl-D-gluosamine	H+-e0
Putrescine-e0##Uracil-e0##Enterocloster_clostridioformis_YL32	0.0	1.0000000000004416	0.0	Putrescine-e0	Uracil-e0
