	0.0000-0.6581	0.6581-0.6593	0.6594-0.6608	0.6608-0.6613	0.6613-1.4077	Source	Target
bc1001##bc1016##D-Glucose	-0.03152386363816543	-0.03152386363816543	-0.05745328770558293	-0.05745328770558293	-0.05745328770557876	bc1001	bc1016
bc1010##bc1016##D-Glucose	-0.03249226023310795	-0.05745328770557986	-0.05745328770557986	-0.05745328770557894	-0.05745328770557894	bc1010	bc1016
bc1015##bc1016##D-Glucose	-0.031589026742308735	-0.031589026742308735	-0.05745328770557913	-0.05745328770557913	-0.05745328770557913	bc1015	bc1016
bc1001##bc1010##O2	-0.15252946972194503	0.0	0.0	0.0	0.0	bc1001	bc1010
bc1015##bc1010##O2	-0.1525294697219451	0.0	0.0	0.0	0.0	bc1015	bc1010
bc1016##bc1010##O2	-0.0034192589930164925	0.0	0.0	0.0	0.0	bc1016	bc1010
bc1010##bc1001##O2	-0.15236136794857924	-0.1523613679485822	0.0	0.0	0.0	bc1010	bc1001
bc1015##bc1001##O2	-0.1523613679485789	-0.1523613679485789	0.0	0.0	0.0	bc1015	bc1001
bc1016##bc1001##O2	-0.0034154906490933665	-0.0034154906490933665	0.0	0.0	0.0	bc1016	bc1001
bc1001##bc1015##O2	-0.15324853629752627	-0.15324853629752627	0.0	0.0	0.0	bc1001	bc1015
bc1010##bc1015##O2	-0.15324853629752666	-0.15324853629752966	0.0	0.0	0.0	bc1010	bc1015
bc1016##bc1015##O2	-0.003435378336115343	-0.003435378336115343	0.0	0.0	0.0	bc1016	bc1015
bc1001##bc1010##D-Glucose.O2	0.0	-0.11330374830241619	-1.1635969549795706	0.0	0.0	bc1001	bc1010
bc1015##bc1010##D-Glucose.O2	0.0	-0.11594323483438673	-0.21087449394362157	0.0	0.0	bc1015	bc1010
bc1016##bc1010##D-Glucose.O2	0.0	-2.30110951223688	-2.30110951223688	0.0	0.0	bc1016	bc1010
bc1010##bc1001##D-Glucose.O2	0.0	0.0	-1.564707491653467	-0.17633922865418183	0.0	bc1010	bc1001
bc1015##bc1001##D-Glucose.O2	0.0	0.0	-0.28356631483151595	-0.28356631483151595	0.0	bc1015	bc1001
bc1016##bc1001##D-Glucose.O2	0.0	0.0	-3.094338875246786	-3.094338875246786	0.0	bc1016	bc1001
bc1001##bc1015##D-Glucose	0.0	0.0	-0.278724391168684	-0.278724391168684	-0.27872439116866377	bc1001	bc1015
bc1010##bc1015##D-Glucose	0.0	0.0	-0.2787243911686691	-0.27872439116866465	-0.27872439116866465	bc1010	bc1015
bc1016##bc1015##D-Glucose	0.0	0.0	-0.27872439116866443	-0.27872439116866443	-0.27872439116866443	bc1016	bc1015
bc1001##bc1010##D-Glucose	0.0	0.0	0.0	-0.1311349185707115	-0.13113491857070197	bc1001	bc1010
bc1015##bc1010##D-Glucose	0.0	0.0	0.0	-0.1311349185707028	-0.1311349185707028	bc1015	bc1010
bc1016##bc1010##D-Glucose	0.0	0.0	0.0	-0.13113491857070225	-0.13113491857070225	bc1016	bc1010
bc1010##bc1001##D-Glucose	0.0	0.0	0.0	0.0	-0.13296422013011486	bc1010	bc1001
bc1015##bc1001##D-Glucose	0.0	0.0	0.0	0.0	-0.1329642201301153	bc1015	bc1001
bc1016##bc1001##D-Glucose	0.0	0.0	0.0	0.0	-0.13296422013011472	bc1016	bc1001
