	0.0000-0.3371	0.3403-0.4122	0.4122-0.4140	0.4140-0.4146	0.4146-0.4155	0.4155-1.2079	1.2079-2.0000	Source	Target
bc1012##bc1011##O2	-0.15278557913560067	-0.15278557913560095	0.0	0.0	0.0	0.0	0.0	bc1012	bc1011
bc1015##bc1011##O2	-0.15278557913560206	-0.15278557913560206	0.0	0.0	0.0	0.0	0.0	bc1015	bc1011
bc1011##bc1012##O2	-0.1529931249969315	0.0	0.0	0.0	0.0	0.0	0.0	bc1011	bc1012
bc1015##bc1012##O2	-0.152993124996932	0.0	0.0	0.0	0.0	0.0	0.0	bc1015	bc1012
bc1011##bc1015##O2	-0.15324853629752583	-0.15324853629752583	-0.2709749205113724	0.0	0.0	0.0	0.0	bc1011	bc1015
bc1012##bc1015##O2	-0.15324853629752494	-0.15324853629752522	-0.15324853629752522	0.0	0.0	0.0	0.0	bc1012	bc1015
bc1011##bc1012##O2.D-Glucose	0.0	-0.1171857217083341	-0.20720844969986463	-0.20720844969986463	-0.20720844969986463	0.0	0.0	bc1011	bc1012
bc1015##bc1012##D-Glucose.O2	0.0	-0.1151357963740986	-0.1151357963740986	-0.17382509644760852	-0.21020901969282002	0.0	0.0	bc1015	bc1012
bc1012##bc1011##D-Glucose	0.0	0.0	-0.27015631706377535	-0.27015631706377535	-0.27015631706377535	-0.2701563170637771	-0.2701563170637771	bc1012	bc1011
bc1015##bc1011##D-Glucose	0.0	0.0	-0.1485376288309881	-0.2701563170637384	-0.2701563170637772	-0.2701563170637772	-0.2701563170637772	bc1015	bc1011
bc1011##bc1015##O2.D-Glucose	0.0	0.0	0.0	-0.3564974537579162	0.0	0.0	0.0	bc1011	bc1015
bc1012##bc1015##O2.D-Glucose	0.0	0.0	0.0	-1.5379899521206295	0.0	0.0	0.0	bc1012	bc1015
bc1011##bc1015##D-Glucose	0.0	0.0	0.0	0.0	-0.25030228184986536	-0.25030228184986536	-0.25030228184986536	bc1011	bc1015
bc1012##bc1015##D-Glucose	0.0	0.0	0.0	0.0	-0.2503022818498661	-0.2503022818498677	-0.2503022818498677	bc1012	bc1015
bc1011##bc1012##D-Glucose	0.0	0.0	0.0	0.0	0.0	-0.21138893019056215	-0.21138893019056215	bc1011	bc1012
bc1015##bc1012##D-Glucose	0.0	0.0	0.0	0.0	0.0	-0.2113889301905642	-0.2113889301905642	bc1015	bc1012
