	0.7812	0.7813	0.7823	0.7827	1.5737	Source	Target
O2##L-Valine##bc1010	0.05372594155061478	0.0	0.0	0.0	0.0	O2	L-Valine
O2##Heme##bc1010	0.0004280219685660604	0.0	0.0	0.0	0.0	O2	Heme
O2##L-Tyrosine##bc1010	0.018406738508493184	0.0	0.0	0.0	0.0	O2	L-Tyrosine
O2##Riboflavin##bc1010	0.001284065905704562	0.0	0.0	0.0	0.0	O2	Riboflavin
O2##H+##bc1010	-0.7846525849736092	0.0	0.0	0.0	0.0	O2	H+
O2##GTP##bc1010	0.02065353063493762	0.0	0.0	0.0	0.0	O2	GTP
O2##Pyridoxal##bc1010	0.0004280219685698141	0.0	0.0	0.0	0.0	O2	Pyridoxal
O2##L-Alanine##bc1010	0.06908745728988683	0.0	0.0	0.0	0.0	O2	L-Alanine
O2##Mn2+##bc1010	0.00042802196856917804	0.0	0.0	0.0	0.0	O2	Mn2+
O2##L-Methionine##bc1010	0.01863743928034579	0.0	0.0	0.0	0.0	O2	L-Methionine
O2##L-Tryptophan##bc1010	0.007199683697050819	0.0	0.0	0.0	0.0	O2	L-Tryptophan
O2##D-Arabinose##bc1010	0.01144455961881058	0.0	0.0	0.0	0.0	O2	D-Arabinose
O2##Cu2+##bc1010	0.00042802196856972155	0.0	0.0	0.0	0.0	O2	Cu2+
O2##dGTP##bc1010	0.0027986405597875148	0.0	0.0	0.0	0.0	O2	dGTP
O2##Thiamin##bc1010	0.0004280219685670963	0.0	0.0	0.0	0.0	O2	Thiamin
O2##Putrescine##bc1010	0.00042802196856711985	0.0	0.0	0.0	0.0	O2	Putrescine
O2##L-Glutamine##bc1010	0.04910483459504716	0.0	0.0	0.0	0.0	O2	L-Glutamine
O2##meso-2,6-Diaminopimelate##bc1010	0.0038148532062719943	0.0	0.0	0.0	0.0	O2	meso-2,6-Diaminopimelate
O2##L-Proline##bc1010	0.028119519345074683	0.0	0.0	0.0	0.0	O2	L-Proline
O2##1,2-Diacyl-sn-glycerol dioctadecanoyl##bc1010	0.019002331793892994	0.0	0.0	0.0	0.0	O2	1,2-Diacyl-sn-glycerol dioctadecanoyl
O2##Co2+##bc1010	0.0004280219685682492	0.0	0.0	0.0	0.0	O2	Co2+
O2##Nitrite##bc1010	-0.001712087874259175	0.0	0.0	0.0	0.0	O2	Nitrite
O2##O2##bc1015	0.0	0.0	1.674216321134736e-13	0.9999999999998326	0.0	O2	O2
O2##Mg##bc1015	0.0	0.0	0.004745884375404937	-0.004315844591581179	0.0	O2	Mg
O2##NH3##bc1015	0.0	0.0	-0.023729421876723056	0.021579222957600147	0.0	O2	NH3
O2##AMP##bc1015	0.0	0.0	0.1815875617008389	-0.16513333112874018	0.0	O2	AMP
O2##L-Asparagine##bc1015	0.0	0.0	0.33965279033767776	-0.30887576313245746	0.0	O2	L-Asparagine
O2##4-Hydroxybenzoate##bc1015	0.0	0.0	0.004745884374400471	-0.004315844590588679	0.0	O2	4-Hydroxybenzoate
O2##N-Acetyl-D-glucosamine##bc1015	0.0	0.0	0.17394142624393258	-0.15818003649562162	0.0	O2	N-Acetyl-D-glucosamine
O2##ddca##bc1015	0.0	0.0	0.11049309804396529	-0.10048096453233524	0.0	O2	ddca
O2##L-Isoleucine##bc1015	0.0	0.0	0.4089389471249629	-0.37188367933686167	0.0	O2	L-Isoleucine
O2##CoA##bc1015	0.0	0.0	0.009491768750337139	-0.008631689182688586	0.0	O2	CoA
O2##L-Glutamine##bc1015	0.0	0.0	0.3610385479813472	-0.3283236887796623	0.0	O2	L-Glutamine
O2##BET##bc1015	0.0	0.0	0.009491768749841308	-0.008631689182202978	0.0	O2	BET
