	Avg_bc1001	Var_bc1001	Avg_bc1002	Var_bc1002	Avg_bc1003	Var_bc1003	Avg_InAmount	Var_InAmount	Avg_OutAmount	Var_OutAmount	Avg_AllAmount	Var_AllAmount	In	InAmount	Out	OutAmount	All	AllAmount
1,2-Diacyl-sn-glycerol dioctadecanoyl	0.0	0.0	0.0	0.0	0.0	0.0	2.696825483950639	0.0826260468078937	0.0	0.0	2.696825483950639	0.0826260468078937	bc1001.bc1002.bc1003	1		1	bc1001.bc1002.bc1003	1
4-Hydroxybenzoate	0.0	0.0	0.0	0.0	0.0	0.0	2.696825483950639	0.0826260468078937	0.0	0.0	2.696825483950639	0.0826260468078937	bc1001.bc1002.bc1003	1		1	bc1001.bc1002.bc1003	1
5-Aminolevulinate	0.0	0.0	0.0	0.0	0.0	0.0	2.696825483950639	0.0826260468078937	0.0	0.0	2.696825483950639	0.0826260468078937	bc1001.bc1002.bc1003	1		1	bc1001.bc1002.bc1003	1
AMP	0.0	0.0	0.0	0.0	0.0	0.0	2.696825483950639	0.0826260468078937	0.0	0.0	2.696825483950639	0.0826260468078937	bc1001.bc1002.bc1003	1		1	bc1001.bc1002.bc1003	1
ARSENOBETAINE	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Acetate	0.0	0.0	0.0	0.0	0.0	0.0	2.696825483950639	0.0826260468078937	0.0	0.0	2.696825483950639	0.0826260468078937	bc1001.bc1002.bc1003	1		1	bc1001.bc1002.bc1003	1
Adenine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Adenosine	0.0	0.0	0.0	0.0	0.0	0.0	0.8989418279835464	0.009180671867543747	0.0	0.0	0.8989418279835464	0.009180671867543747	bc1001	1		1	bc1001	1
Ala-Ala	0.0	0.0	0.0	0.0	0.0	0.0	2.696825483950639	0.0826260468078937	0.0	0.0	2.696825483950639	0.0826260468078937	bc1001.bc1002.bc1003	1		1	bc1001.bc1002.bc1003	1
Arsenate	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Arsenite	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
