	Avg_bc1011	Var_bc1011	Avg_bc1010	Var_bc1010	Avg_InAmount	Var_InAmount	Avg_OutAmount	Var_OutAmount	Avg_AllAmount	Var_AllAmount	In	InAmount	Out	OutAmount	All	AllAmount
1,2-Diacyl-sn-glycerol dioctadecanoyl	0.0	0.0	0.0	0.0	1.9971048229335875	8.369916486060271e-06	0.0	0.0	1.9971048229335875	8.369916486060271e-06	bc1010.bc1011	1		1	bc1010.bc1011	1
2-Oxoglutarate	0.0	0.0	0.0	0.0	0.9985524114667937	2.092479121515068e-06	0.0	0.0	0.9985524114667937	2.092479121515068e-06	bc1010	1		1	bc1010	1
4-Hydroxybenzoate	0.0	0.0	0.0	0.0	1.9971048229335875	8.369916486060271e-06	0.0	0.0	1.9971048229335875	8.369916486060271e-06	bc1010.bc1011	1		1	bc1010.bc1011	1
5-Aminolevulinate	0.0	0.0	0.0	0.0	1.9971048229335875	8.369916486060271e-06	0.0	0.0	1.9971048229335875	8.369916486060271e-06	bc1010.bc1011	1		1	bc1010.bc1011	1
AMP	0.0	0.0	0.0	0.0	1.9971048229335875	8.369916486060271e-06	0.0	0.0	1.9971048229335875	8.369916486060271e-06	bc1010.bc1011	1		1	bc1010.bc1011	1
Acetate	0.0	0.0	0.0	0.0	1.9971048229335875	8.369916486060271e-06	0.0	0.0	1.9971048229335875	8.369916486060271e-06	bc1010.bc1011	1		1	bc1010.bc1011	1
Adenine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Adenosine	0.0	0.0	0.0	0.0	1.9971048229335875	8.369916486060271e-06	0.0	0.0	1.9971048229335875	8.369916486060271e-06	bc1010.bc1011	1		1	bc1010.bc1011	1
Ala-Ala	0.0	0.0	0.0	0.0	0.9985524114667937	2.092479121515068e-06	0.0	0.0	0.9985524114667937	2.092479121515068e-06	bc1010	1		1	bc1010	1
Arsenate	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Arsenite	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
BET	0.0	0.0	0.0	0.0	1.9971048229335875	8.369916486060271e-06	0.0	0.0	1.9971048229335875	8.369916486060271e-06	bc1010.bc1011	1		1	bc1010.bc1011	1
BIOT	0.0	0.0	0.0	0.0	1.9971048229335875	8.369916486060271e-06	0.0	0.0	1.9971048229335875	8.369916486060271e-06	bc1010.bc1011	1		1	bc1010.bc1011	1
CMP	0.0	0.0	0.0	0.0	1.9971048229335875	8.369916486060271e-06	0.0	0.0	1.9971048229335875	8.369916486060271e-06	bc1010.bc1011	1		1	bc1010.bc1011	1
CO2	0.0	0.0	0.0	0.0	1.9971048229335875	8.369916486060271e-06	0.0	0.0	1.9971048229335875	8.369916486060271e-06	bc1010.bc1011	1		1	bc1010.bc1011	1
Ca2+	0.0	0.0	0.0	0.0	1.9971048229335875	8.369916486060271e-06	0.0	0.0	1.9971048229335875	8.369916486060271e-06	bc1010.bc1011	1		1	bc1010.bc1011	1
Carnitine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Cbl	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Chorismate	0.0	0.0	0.0	0.0	1.9971048229335875	8.369916486060271e-06	0.0	0.0	1.9971048229335875	8.369916486060271e-06	bc1010.bc1011	1		1	bc1010.bc1011	1
Cl-	0.0	0.0	0.0	0.0	1.9971048229335875	8.369916486060271e-06	0.0	0.0	1.9971048229335875	8.369916486060271e-06	bc1010.bc1011	1		1	bc1010.bc1011	1
Co2+	0.0	0.0	0.0	0.0	1.9971048229335875	8.369916486060271e-06	0.0	0.0	1.9971048229335875	8.369916486060271e-06	bc1010.bc1011	1		1	bc1010.bc1011	1
CoA	0.0	0.0	0.0	0.0	1.9971048229335875	8.369916486060271e-06	0.0	0.0	1.9971048229335875	8.369916486060271e-06	bc1010.bc1011	1		1	bc1010.bc1011	1
Cu2+	0.0	0.0	0.0	0.0	1.9971048229335875	8.369916486060271e-06	0.0	0.0	1.9971048229335875	8.369916486060271e-06	bc1010.bc1011	1		1	bc1010.bc1011	1
D-Alanine	0.0	0.0	0.0	0.0	0.9985524114667937	2.092479121515068e-06	0.0	0.0	0.9985524114667937	2.092479121515068e-06	bc1011	1		1	bc1011	1
D-Arabinose	0.0	0.0	0.0	0.0	1.9971048229335875	8.369916486060271e-06	0.0	0.0	1.9971048229335875	8.369916486060271e-06	bc1010.bc1011	1		1	bc1010.bc1011	1
D-Glucose	0.14801259666158917	0.018047095845677937	0.07184587044953311	0.00425220106577317	1.9971048229335875	8.369916486060271e-06	1.0957551007046589	0.9890927567619129	3.0928599236382466	0.9891103113527103	bc1010.bc1011	1	.bc1011.bc1010.bc1011	3	bc1010.bc1011.bc1011bc1010.bc1011.bc1010.bc1011bc1010.bc1011	3
D-Serine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Deoxycytidine	0.0	0.0	0.0	0.0	1.9971048229335875	8.369916486060271e-06	0.0	0.0	1.9971048229335875	8.369916486060271e-06	bc1010.bc1011	1		1	bc1010.bc1011	1
Deoxyguanosine	0.0	0.0	0.0	0.0	1.9971048229335875	8.369916486060271e-06	0.0	0.0	1.9971048229335875	8.369916486060271e-06	bc1010.bc1011	1		1	bc1010.bc1011	1
Enterobactin	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Fe-enterochlin	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Folate	0.0	0.0	0.0	0.0	1.9971048229335875	8.369916486060271e-06	0.0	0.0	1.9971048229335875	8.369916486060271e-06	bc1010.bc1011	1		1	bc1010.bc1011	1
Formate	0.0	0.0	0.0	0.0	0.9985524114667937	2.092479121515068e-06	0.0	0.0	0.9985524114667937	2.092479121515068e-06	bc1011	1		1	bc1011	1
