	0.0000-0.7927	0.7927-0.7938	0.7938-0.7942	0.7942-1.5371	Source	Target
bc1015##L-Aspartate##Microbe	-0.030777027205217453	-0.030777027205217453	-0.30887576313211057	-0.05026840923990932	bc1015	L-Aspartate
bc1011##NADP##Microbe	-0.0008574813046767902	-0.0015162032472771207	-0.0015162032472771207	-0.0015162032472771207	bc1011	NADP
bc1015##CO2##Microbe	1.1067833153116753	1.1067833153116753	2.0716687413110684	2.0116638274941367	bc1015	CO2
bc1015##Deoxycytidine##Microbe	-0.0022404697575750814	-0.0022404697575750814	-0.02248517381266782	-0.0036593804174918578	bc1015	Deoxycytidine
bc1011##H+##Microbe	0.7828635106273613	1.384263645765944	1.384263645765944	1.384263645765944	bc1011	H+
bc1015##Pyridoxal##Microbe	-0.00043003978382489866	-0.00043003978382489866	-0.004315844591546326	-0.0007023880408779383	bc1015	Pyridoxal
bc1015##UMP##Microbe	-0.01434989625991365	-0.01434989625991365	-0.14401440167014218	-0.023437821103831268	bc1015	UMP
bc1015##Heme##Microbe	-0.00043003978382413283	-0.00043003978382413283	-0.00431584459155034	-0.0007023880408764621	bc1015	Heme
bc1011##Oxidized glutathione##Microbe	-0.00021437032617179855	-0.0003790508118237895	-0.0003790508118237895	-0.0003790508118237895	bc1011	Oxidized glutathione
bc1011##CoA##Microbe	-0.0008574813047058282	-0.0015162032473285225	-0.0015162032473285225	-0.0015162032473285225	bc1011	CoA
bc1015##L-Histidine##Microbe	-0.012147030692968859	-0.012147030692968859	-0.12190662048232169	-0.019839859966084377	bc1015	L-Histidine
bc1011##L-Glutamine##Microbe	-0.048329804310605594	-0.085457030767138	-0.085457030767138	-0.085457030767138	bc1011	L-Glutamine
bc1015##L-Proline##Microbe	-0.028252082622971516	-0.028252082622971516	-0.28353562291948764	-0.046144393404262914	bc1015	L-Proline
bc1011##5-Aminolevulinate##Microbe	-0.0034299252187462966	-0.00606481298917788	-0.00606481298917788	-0.00606481298917788	bc1011	5-Aminolevulinate
bc1015##L-Lysine##Microbe	-0.04374295884378097	-0.04374295884378097	-0.4390008074671263	-0.07144578785539621	bc1015	L-Lysine
bc1011##BET##Microbe	-0.000857481304688981	-0.0015162032472987269	-0.0015162032472987269	-0.0015162032472987269	bc1011	BET
O2##bc1015##Metabolite	0.15324853629752633	0.15324853629752633	-1.5379899521223486	0.0	O2	bc1015
bc1015##Cl-##Microbe	-0.0004300397838256223	-0.0004300397838256223	-0.004315844591525657	-0.0007023880408792292	bc1015	Cl-
bc1011##Co2+##Microbe	-0.0004287406523436731	-0.0007581016236478824	-0.0007581016236478824	-0.0007581016236478824	bc1011	Co2+
bc1015##H2O##Microbe	2.0195705202845673	2.0195705202845673	11.232327522068726	3.5025277911441015	bc1015	H2O
bc1011##L-Isoleucine##Microbe	-0.036943325435999916	-0.06532339502421336	-0.06532339502421336	-0.06532339502421336	bc1011	L-Isoleucine
O2##bc1011##Metabolite	0.15278557913560206	0.0	0.0	0.0	O2	bc1011
bc1015##Niacin##Microbe	0.00043003978382496425	0.00043003978382496425	0.004315844591547995	0.0007023880408777574	bc1015	Niacin
bc1015##PPi##Microbe	0.004231566005145316	0.004231566005145316	0.04246765518939667	0.006911456725611475	bc1015	PPi
bc1011##Zn2+##Microbe	-0.0004287406523451301	-0.0007581016236506595	-0.0007581016236506595	-0.0007581016236506595	bc1011	Zn2+
bc1015##Spermidine##Microbe	-0.00043003978382583514	-0.00043003978382583514	-0.0043158445915221985	-0.0007023880408802615	bc1015	Spermidine
bc1011##AMP##Microbe	-0.011751142378306633	-0.02077843579332687	-0.02077843579332687	-0.02077843579332687	bc1011	AMP
bc1015##L-Valine##Microbe	-0.05397922066369908	-0.05397922066369908	-0.5417311056262352	-0.0881647709728871	bc1015	L-Valine
bc1011##D-Alanine##Microbe	-0.007642517311564222	-0.013513541930262054	-0.013513541930262054	-0.013513541930262054	bc1011	D-Alanine
bc1015##GTP##Microbe	-0.02075089715417181	-0.02075089715417181	-0.2082543304599436	-0.03389263632532913	bc1015	GTP
bc1015##D-Glucose##Microbe	-0.5498210459980584	-0.5498210459980584	-0.999999999999863	-1.0000000000000067	bc1015	D-Glucose
bc1011##L-Threonine##Microbe	-0.0322488697176126	-0.057022632120583824	-0.057022632120583824	-0.057022632120583824	bc1011	L-Threonine
bc1015##Mn2+##Microbe	-0.00043003978382575604	-0.00043003978382575604	-0.0043158445914849575	-0.0007023880408804777	bc1015	Mn2+
bc1015##4-Hydroxybenzoate##Microbe	-0.0004300397838117923	-0.0004300397838117923	-0.00431584459072584	-0.0007023880408720846	bc1015	4-Hydroxybenzoate
bc1011##L-Asparagine##Microbe	-0.03068405114481698	-0.05425571115270685	-0.05425571115270685	-0.05425571115270685	bc1011	L-Asparagine
bc1015##Deoxyguanosine##Microbe	-0.00043003978382804203	-0.00043003978382804203	-0.0043158445914968325	-0.0007023880408849046	bc1015	Deoxyguanosine
bc1011##Chorismate##Microbe	-0.0008574813046945209	-0.0015162032473085131	-0.0015162032473085131	-0.0015162032473085131	bc1011	Chorismate
